Commune,Name,Climate,Soil Type,Main Feature,Nutrients,Soil pH,Topography,Water Risk,Water Bodies,Rainfall,Main Challenge
KCM-BTH-TKG,Tang Krasang,Tropical Moonson,Eutric Gleysols,Permanently wet / high water table,High,5,lowland,Saturated,Active floodplain from Mekong and Tonle sap rive,1400 mm,acidity and flooding
KCM-CPY-TKR,Trapeang Kor,Tropical Moonson,Pellic Vertisols,Cracks when dry / sticky when wet,Very high,6.5,lowland,Sticky,Reservoirs and canals,1400 mm,soil hardness
